article,type,index,url,filename,status
"XT60-1F-1M",main,,"https://flyshop.com.ua/content/images/27/ziednuvach-xt60-1-male-1-female-76280697978877_+4d47d6c385.png","XT60-1F-1M.png",OK
"1F-XT90-3M-XT60",main,,"https://flyshop.com.ua/content/images/21/ziednuvach-1-xt90-female-to-3-xt60-male-77203525126121_+3a714f9c0a.jpg","1F-XT90-3M-XT60.jpg",OK
"1M-XT90-3F-XT60",main,,"https://flyshop.com.ua/content/images/22/ziednuvach-1-xt90-male-to-3-xt60-female-57932780829512_+674ce63796.png","1M-XT90-3F-XT60.png",OK
"JX PDI-HV2107MG",main,,"https://flyshop.com.ua/content/images/44/67811280531146_+3a229b4b7c.jpg","JX PDI-HV2107MG.jpg",OK
"DS3225MG",main,,"https://flyshop.com.ua/content/images/45/43154161223335_+9c647c6fa9.jpg","DS3225MG.jpg",OK
"ES3054",main,,"https://flyshop.com.ua/content/images/48/71796085659598_+f78eed8184.png","ES3054.png",OK
"ST-FUTABA",main,,"https://flyshop.com.ua/content/images/3/54273800517857_+6e6a0305f9.jpg","ST-FUTABA.jpg",OK
"ST-FUTABA-L",main,,"https://flyshop.com.ua/content/images/5/62334345887716_+1dcf2ddfeb.jpg","ST-FUTABA-L.jpg",OK
"RDS3225MG",main,,"https://flyshop.com.ua/content/images/8/85787444350044_+ec313f5b90.png","RDS3225MG.png",OK
"RDS3225MG",gallery,1,"https://flyshop.com.ua/content/images/8/36186267762843_+beb83c543f.png","RDS3225MG@1.png",OK
"RDS3225MG",gallery,2,"https://flyshop.com.ua/content/images/8/88121445551906_+0cb29cf234.png","RDS3225MG@2.png",OK
"RDS3225MG",gallery,3,"https://flyshop.com.ua/content/images/8/39523412100188_+71f0e6e12c.png","RDS3225MG@3.png",OK
"ES08MDII",main,,"https://flyshop.com.ua/content/images/23/emax-es08mdii-33280284578461_+fcfa73fcca.png","ES08MDII.png",OK
"DS51150",main,,"https://flyshop.com.ua/content/images/45/15758363461955_+097f9ff1c0.png","DS51150.png",OK
"DS51150",gallery,1,"https://flyshop.com.ua/content/images/45/17384868647129_+13ce5f2629.png","DS51150@1.png",OK
"DS51150",gallery,2,"https://flyshop.com.ua/content/images/45/68723157907002_+87e2622e77.png","DS51150@2.png",OK
"DS51150",gallery,3,"https://flyshop.com.ua/content/images/45/41885145367456_+d36a0f09c2.png","DS51150@3.png",OK
"DS51150",gallery,4,"https://flyshop.com.ua/content/images/45/14074359878128_+94d101aee6.png","DS51150@4.png",OK
"10182",main,,"https://flyshop.com.ua/content/images/27/85378004248472_+7cd976d983.jpg","10182.jpg",OK
"10121",main,,"https://flyshop.com.ua/content/images/28/47596074655275_+c94d1b23c0.jpg","10121.jpg",OK
"10996",main,,"https://flyshop.com.ua/content/images/29/65880986461387_+3953576b7a.jpg","10996.jpg",OK
"10145",main,,"https://flyshop.com.ua/content/images/30/35mm-gold-connector-42658281366871_+caccb4840f.png","10145.png",OK
"10144",main,,"https://flyshop.com.ua/content/images/31/15666678106828_+8adeb333ed.jpg","10144.jpg",OK
"10144",gallery,1,"https://flyshop.com.ua/content/images/31/4mm-gold-connector-87198731414705_+7ece58b406.jpg","10144@1.jpg",OK
"10144",gallery,2,"https://flyshop.com.ua/content/images/31/4mm-gold-connector-32429803415918_+dfc9ca6f38.jpg","10144@2.jpg",OK
"10997",main,,"https://flyshop.com.ua/content/images/32/5mm-gold-connector-47424792208871_+40d2db219d.jpg","10997.jpg",OK
"10998",main,,"https://flyshop.com.ua/content/images/33/55mm-gold-connector-71220058031280_+636fd2f218.jpg","10998.jpg",OK
"11114",main,,"https://flyshop.com.ua/content/images/34/60mm-gold-connector-27522611063964_+3f27d3e1e4.jpg","11114.jpg",OK
"11114",gallery,1,"https://flyshop.com.ua/content/images/34/60mm-gold-connector-72424585680394_+7b9f19fddd.jpg","11114@1.jpg",OK
"10778",main,,"https://flyshop.com.ua/content/images/35/69745991850407_+239ddc1345.jpg","10778.jpg",OK
"10975",main,,"https://flyshop.com.ua/content/images/36/28425189783148_+11caa2b0e6.jpg","10975.jpg",OK
"10976",main,,"https://flyshop.com.ua/content/images/37/26316113821256_+2c145e974e.jpg","10976.jpg",OK
"10253",main,,"https://flyshop.com.ua/content/images/38/78831565491548_+8b4394bcb7.jpg","10253.jpg",OK
"10083",main,,"https://flyshop.com.ua/content/images/39/20981129172131_+339200a5fc.jpg","10083.jpg",OK
"10819",main,,"https://flyshop.com.ua/content/images/40/67551334944202_+33d35e9f14.jpg","10819.jpg",OK
"11043",main,,"https://flyshop.com.ua/content/images/41/96505297470375_+56ccd4e84f.jpg","11043.jpg",OK
"11041",main,,"https://flyshop.com.ua/content/images/42/78663387633441_+0617c5de39.jpg","11041.jpg",OK
"11042",main,,"https://flyshop.com.ua/content/images/43/96482156241034_+d735d3e935.jpg","11042.jpg",OK
"11040",main,,"https://flyshop.com.ua/content/images/44/50286233911622_+5fb239d965.jpg","11040.jpg",OK
"11063",main,,"https://flyshop.com.ua/content/images/47/75569172995009_+c15b212721.jpg","11063.jpg",OK
"11064",main,,"https://flyshop.com.ua/content/images/48/26012882789847_+807b8802c0.jpg","11064.jpg",OK
"11044",main,,"https://flyshop.com.ua/content/images/49/55833053787416_+482a1044de.jpg","11044.jpg",OK
"11045",main,,"https://flyshop.com.ua/content/images/50/69735059386771_+3190c7be3b.jpg","11045.jpg",OK
"11046",main,,"https://flyshop.com.ua/content/images/1/19896523587001_+d59e2a7a11.jpg","11046.jpg",OK
"11229",main,,"https://flyshop.com.ua/content/images/2/59405989969791_+20d1914a77.jpg","11229.jpg",OK
"11047",main,,"https://flyshop.com.ua/content/images/3/13262239416516_+5511cd0d28.jpg","11047.jpg",OK
"10970",main,,"https://flyshop.com.ua/content/images/4/65791177279507_+5ec7b0186e.jpg","10970.jpg",OK
"10969",main,,"https://flyshop.com.ua/content/images/5/13664118762257_+a29fd0f4a9.jpg","10969.jpg",OK
"11234",main,,"https://flyshop.com.ua/content/images/6/28299797250559_+2e353f0337.jpg","11234.jpg",OK
"10971",main,,"https://flyshop.com.ua/content/images/7/adapter-xt60male-xt30female-67835604884346_+1d9425ddb4.jpg","10971.jpg",OK
"10971",gallery,1,"https://flyshop.com.ua/content/images/7/adapter-xt60male-xt30female-43740128884167_+2338c6fb68.jpg","10971@1.jpg",OK
"10967",main,,"https://flyshop.com.ua/content/images/8/31955312669338_+1055a00222.jpg","10967.jpg",OK
"10968",main,,"https://flyshop.com.ua/content/images/9/37537833309588_+92bab8ad0a.jpg","10968.jpg",OK
"10426",main,,"https://flyshop.com.ua/content/images/10/31245718647189_+c896d546b7.jpg","10426.jpg",OK
"10407",main,,"https://flyshop.com.ua/content/images/11/18728558277079_+46ac4bdc65.jpg","10407.jpg",OK
"11202",main,,"https://flyshop.com.ua/content/images/12/64675021267745_+d484903db7.jpg","11202.jpg",OK
"11233",main,,"https://flyshop.com.ua/content/images/13/87037120360483_+e5da795cb5.png","11233.png",OK
"11233",gallery,1,"https://flyshop.com.ua/content/images/13/62856225189670_+4ca2d02e8f.png","11233@1.png",OK
"11233",gallery,2,"https://flyshop.com.ua/content/images/13/96399096383462_+77176ee4f1.png","11233@2.png",OK
"11214",main,,"https://flyshop.com.ua/content/images/14/37000679379080_+84d1810c4d.png","11214.png",OK
"10906",main,,"https://flyshop.com.ua/content/images/15/13454939189878_+0aa49b880c.jpg","10906.jpg",OK
"10905",main,,"https://flyshop.com.ua/content/images/16/46234188142033_+2684702b2e.jpg","10905.jpg",OK
"11123",main,,"https://flyshop.com.ua/content/images/17/magnetic-3pin-connector-no-55487960477278_+5bcda08f13.jpg","11123.jpg",OK
"11082",main,,"https://flyshop.com.ua/content/images/18/61431177907870_+313acb11f0.jpg","11082.jpg",OK
